district_id,state,district,latitude,longitude,district_area_sq_km,population,population_density,average_rainfall,maximum_rainfall,annual_actual_rainfall,rainfall_departure_pct,heavy_rainfall_days,historical_disaster_count,historical_flood_count,historical_landslide_count,historical_cyclone_count,landslide_event_count,cyclone_track_count,cyclone_exposure_count,max_cyclone_wind,total_households,good_houses,livable_houses,dilapidated_houses,dilapidated_house_pct,hospital_count,hospital_bed_count
DIST_IND_001,JAMMU AND KASHMIR,Kupwara,34.520522,74.208448,2755.63,870354,315.85,1.09,12.9,20.8,0.0,0.0,0,0,0,0,0,0,0,0.0,273.7,111.5,143.4,18.6,6.8,0,0
DIST_IND_002,JAMMU AND KASHMIR,Badgam,33.918236,74.634528,1239.94,753745,607.89,0.59,7.6,11.3,0.0,0.0,0,0,0,0,0,0,0,0.0,292.6,162.3,120.7,9.6,3.28,5,0
DIST_IND_003,JAMMU AND KASHMIR,Leh(Ladakh),35.047811,76.822011,155377.12,133487,0.86,,,,,,0,0,0,0,0,0,0,0.0,296.0,134.3,156.8,4.9,1.66,0,0
DIST_IND_004,JAMMU AND KASHMIR,Kargil,33.902696,76.497341,14085.64,140802,10.0,,,,,,0,0,0,0,0,0,0,0.0,291.8,76.3,208.39999999999998,7.1,2.43,0,0
DIST_IND_005,JAMMU AND KASHMIR,Punch,33.783223,74.018241,4226.34,476835,112.82,7.26,38.5,137.9,0.0,0.0,0,0,0,0,0,2,5,0.0,270.8,143.8,122.2,4.8,1.77,0,0
DIST_IND_006,JAMMU AND KASHMIR,Rajouri,33.274817,74.383227,2642.59,642415,243.1,5.27,51.6,100.2,0.0,0.0,0,0,0,0,0,0,0,0.0,280.7,164.0,110.3,6.3,2.24,0,0
DIST_IND_007,JAMMU AND KASHMIR,Kathua,32.575655,75.58487,2473.6,616435,249.21,15.83,69.6,300.7,0.0,1.0,0,0,0,0,0,1,1,0.0,294.6,188.9,96.0,9.7,3.29,3,0
DIST_IND_008,JAMMU AND KASHMIR,Baramula,34.155466,74.301615,2026.53,1008039,497.42,2.11,15.9,40.1,0.0,0.0,0,0,0,0,0,0,0,0.0,293.0,158.3,119.7,15.0,5.12,4,0
DIST_IND_009,JAMMU AND KASHMIR,Bandipore,34.493444,74.876934,2645.44,392232,148.27,1.67,10.8,31.8,0.0,0.0,0,0,0,0,0,0,0,0.0,291.0,143.7,129.5,17.9,6.15,0,0
DIST_IND_010,JAMMU AND KASHMIR,Srinagar,34.114662,74.821278,279.78,1236829,4420.72,1.03,8.8,19.6,0.0,0.0,0,0,0,0,0,0,0,0.0,295.5,202.3,82.89999999999999,10.5,3.55,23,0
DIST_IND_011,JAMMU AND KASHMIR,Ganderbal,34.263177,75.028522,1630.98,297446,182.37,,,,,,0,0,0,0,0,0,0,0.0,280.8,160.6,103.0,17.2,6.13,0,0
DIST_IND_012,JAMMU AND KASHMIR,Pulwama,33.939029,75.014375,899.34,560440,623.17,1.47,12.7,28.0,0.0,0.0,0,0,0,0,0,0,0,0.0,295.3,158.4,125.69999999999999,11.3,3.83,2,0
DIST_IND_013,JAMMU AND KASHMIR,Shupiyan,33.73426,74.819035,491.39,266215,541.76,1.07,9.8,20.3,0.0,0.0,0,0,0,0,0,0,0,0.0,294.1,181.8,97.9,14.399999999999999,4.9,0,0
DIST_IND_014,JAMMU AND KASHMIR,Anantnag,33.824697,75.318896,2772.44,1078692,389.08,2.45,15.6,46.6,0.0,0.0,0,0,0,0,0,0,0,0.0,291.5,173.3,106.30000000000001,11.8,4.05,4,0
